LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARN6701S.6         8018138117738Scatola derivazione 155x155 BIANCA         00006000060000699999940000000345000000003450000001EURPCE0320130301                  39                
ARN6701TE28.3      8018138176490Scatola equipotenz. 30 fori BIANCA         00006000060000699999940000000620000000006200000001EURPCE0320130301                  39                
ARN6701TE28.6      8018138134643Scatola equipotenz. 30 fori BIANCA         00006000060000699999940000000620000000006200000001EURPCE0320130301                  39                
ARN6702.3          8018138189728Derivazione 200x200 BIANCO PURO            00006000060000699999940000000350000000003500000001EURPCE0320130301                  39                
ARN6702.6          8018138117783Scatola derivazione 200x200 BIANCA         00006000060000699999940000000350000000003500000001EURPCE0320130301                  39                
ARN67020039        8431927008749Uscita per cavi a fibra ottica             00080000100001099999940000000043000000000430000001EURPCE0320130301                  63                
ARN67020610        8018138910698Parete divisoria CLICK H25 x 3000          00060000600006099999940000000057000000000570000001EURLM 0320130301                  63                
ARN67020611        8018138900309Parete divisoria CLICK H50 x 3000          00048000480004899999940000000068000000000680000001EURLM 0320130301                  63                
ARN67020612        8018138906479Parete divisoria CLICK H80 x 3000          00036000360003699999940000000094000000000940000001EURLM 0320130301                  63                
ARN6702-80.3       8018138185768Adattatore H80 x 6702 BIANCO PURO          00015000010000199999940000000050000000000500000001EURPCE0320130301                  39                
ARN6702-80.6       8018138127928Adattatore canali H80 x 6702 BIANCO        00015000010000199999940000000050000000000500000001EURPCE0320130301                  39                
ARN6702BT34.6      8018138134650Scatola equipotenz. 34 fori BIANCA         00004000010000199999940000000530000000005300000001EURPCE0320130301                  39                
ARN6702S.1         8018138117813Scatola derivazione 200x200 GRIGIA         00006000060000699999940000000460000000004600000001EURPCE0320130301                  39                
ARN6702S.2         8018138117820Scatola derivaz. 200x200 ANTRACITE         00004000040000499999940000000390000000003900000001EURPCE0320130301                  32                
ARN6702S.3         8018138143379Derivazione 200x200 BIANCO PURO            00006000060000699999940000000460000000004600000001EURPCE0320130301                  39                
ARN6702S.6         8018138117837Scatola derivazione 200x200 BIANCA         00006000060000699999940000000460000000004600000001EURPCE0320130301                  39                
ARN6702TE56.3      8018138176506Scatola equipotenz. 60 fori BIANCA         00004000010000199999940000000890000000008900000001EURPCE0320130301                  39                
ARN6702TE56.6      8018138134667Scatola equipotenz. 60 fori BIANCA         00004000010000199999940000000890000000008900000001EURPCE0320130301                  39                
ARN6703.3          8018138189735Derivazione 280x280 BIANCO PURO            00003000030000399999940000000537000000005370000001EURPCE0320130301                  39                
ARN6703.6          8018138117882Scatola derivazione 280x280 BIANCA         00003000030000399999940000000537000000005370000001EURPCE0320130301                  39                
ARN67030539        8431927009326Distanziatore x pass. L100-200 AcSZ        00010000100001099999940000000069000000000690000001EURPCE0320130301                  63                
ARN67030540        8431927009333Distanziatore x pass. L300-600 AcSZ        00010000100001099999940000000087000000000870000001EURPCE0320130301                  63                
ARN6703S.1         8018138117912Scatola derivazione 280x280 GRIGIA         00003000030000399999940000000590000000005900000001EURPCE0320130301                  39                
ARN6703S.3         8018138176513Derivazione 280x280 BIANCO PURO            00002000020000299999940000000590000000005900000001EURPCE0320130301                  39                
ARN6703S.6         8018138117929Scatola derivazione 280x280 BIANCA         00002000020000299999940000000590000000005900000001EURPCE0320130301                  39                
ARN67060053        8431927018816Giunto multiplo INOX                       00360000100001099999940000000141500000001415000001EURPCE0320130301                  63                
ARN67060610        8018138910681Parete divisoria INOX 25x3000              000600006000060999999B0000000230000000002300000001EURLM 0620130301                  63                
ARN67060611        8018138910575Parete divisoria INOX 50x3000              000480004800048999999B0000000310000000003100000001EURLM 0620130301                  63                
ARN67060612        8018138910568Parete divisoria INOX 100x3000             000360003600036999999B0000000390000000003900000001EURLM 0620130301                  63                
ARN672200.1        8018138139723Scatola SCATTO derivaz. L200 GRIGIO        00004000010000199999940000000310000000003100000001EURPCE0320130301                  39                
ARN672200.6        8018138134681Scatola SCATTO derivaz. L200 BIANCO        00004000010000199999940000000310000000003100000001EURPCE0320130301                  39                
ARN680             8018138117974Scatola 3-4-5moduli x canali H60/80        00010000100001099999940000000066000000000660000001EURPCE0320130301                  39                
ARN68000010        8431927015860Supporto per fascette reggicavo            00400000200002099999940000000017000000000170000001EURPCE0320130301                  63                
ARN68000058        8431927009661Tronchese                                  00001000010000199999940000003900000000039000000001EURPCE0320130301                  63                
ARN68000060        8431927009678Distanziatore pavimento Poliammide         00100001000010099999940000000044000000000440000001EURPCE0320130301                  63                
ARN683             8018138120271Scatola 3 moduli x canali H60              00010000100001099999940000000035500000000355000001EURPCE0320130301                  39                
ARN683-40          8018138123791Scatola 3 moduli x canali H40              00012000120001299999940000000033500000000335000001EURPCE0320130301                  39                
ARN686             8018138120288Scatola 3-4-6 moduli x canali H60          00012000120001299999940000000065000000000650000001EURPCE0320130301                  39                
ARN686S            8018138171136Scatola 3-4-6 moduli x canali H60          00012000120001299999940000000063000000000630000001EURPCE0320130301                  30                
ARN7089.6          8018138118025Scatola 3-4 mod. x KB-KC72 BIANCA          00010000100001099999940000000119000000001190000001EURPCE0320130301                  11                
ARN72020060        8431927011053Coperchio GRIGLIA L 60 Ac-SZ               00024000240002499999940000000065500000000655000001EURLM 0320130301                  61                
ARN72020100        8431927011077Coperchio GRIGLIA L 100 Ac-SZ              00016000160001699999940000000079000000000790000001EURLM 0320130301                  61                
ARN72020150        8431927011121Coperchio GRIGLIA L 150 Ac-SZ              00016000160001699999940000000101000000001010000001EURLM 0320130301                  61                
ARN72020200        8431927011176Coperchio GRIGLIA L 200 Ac-SZ              00008000080000899999940000000113500000001135000001EURLM 0320130301                  61                
ARN72020300        8431927011220Coperchio GRIGLIA L 300 Ac-SZ              00008000080000899999940000000169000000001690000001EURLM 0320130301                  61                
ARN72020400        8431927011275Coperchio GRIGLIA L 400 Ac-SZ              00008000080000899999940000000250000000002500000001EURLM 0320130301                  61                
ARN72020500        8431927011329Coperchio GRIGLIA L 500 Ac-SZ              000040000400004999999B0000000300000000003000000001EURLM 0620130301                  61                
ARN72020600        8431927011374Coperchio GRIGLIA L 600 Ac-SZ              000040000400004999999B0000000350000000003500000001EURLM 0620130301                  61                
ARN72050060        8431927011787Coperchio GRIGLIA L 60 INOX                00024000240002499999940000000240000000002400000001EURLM 0320130301                  61                
ARN72050100        8431927011794Coperchio GRIGLIA L 100 INOX               00024000240002499999940000000350000000003500000001EURLM 0320130301                  61                
ARN72050150        8431927011800Coperchio GRIGLIA L 150 INOX               000120001200012999999B0000000440000000004400000001EURLM 0620130301                  61                
ARN72050200        8431927011817Coperchio GRIGLIA L 200 INOX               00012000120001299999940000000570000000005700000001EURLM 0320130301                  61                
ARN72050300        8431927011824Coperchio GRIGLIA L 300 INOX               000080000800008999999B0000000793000000007930000001EURLM 0620130301                  61                
ARN72050400        8431927011831Coperchio GRIGLIA L 400 INOX               000080000800008999999B0000000999000000009990000001EURLM 0620130301                  61                
ARN7489.3          8018138174434Scatola 4-3mod KB-KC72 BIANCO PURO         00012000120001299999940000000099500000000995000001EURPCE0320130301                  11                
ARN7489.6          8018138137989Scatola 4-3 mod. x KB-KC72 BIANCO          00012000120001299999940000000099500000000995000001EURPCE0320130301                  11                
ARN7489.AL         8018138184914Scatola 4mod KB72 ALLUMINIO                00012000120001299999940000000230000000002300000001EURPCE0320130301                  10                
ARN7489.CL         8018138185294Scatola 4-3mod KB72 CILIEGIO               00012000120001299999940000000230000000002300000001EURPCE0320130301                  10                
ARN7489.FR         8018138185379Scatola 4-3mod x KB72 FRASSINO             00012000120001299999940000000230000000002300000001EURPCE0320130301                  10                
ARN7489.WG         8018138185409Scatola 4-3 mod WENGE'                     00012000120001299999940000000230000000002300000001EURPCE0320130301                  10                
ARN7489L.AL        8018138189742Scatola 4mod Bticino KB72 ALLUMINIO        00012000120001299999940000000270000000002700000001EURPCE0320130301                  10                
ARN752             8018138118070Staffa a 30° per guide metalliche          00100001000010099999940000000013000000000130000001EURPCE0320130301                  46                
ARN754             4011126036848Fissatubo d 5-25mm GRIGIO CHIARO           010000100001000999999B0000000004600000000046000001EURPCE0620130301                  83                
ARN755             4011126036831Fissatubo d 6-38mm GRIGIO CHIARO           01000010000100099999940000000005500000000055000001EURPCE0320130301                  83                
ARN7689.3          8018138174441Scatola 6-7mod KB-KC72 BIANCO PURO         00009000090000999999940000000132000000001320000001EURPCE0320130301                  11                
ARN7689.6          8018138134742Scatola 6-7 mod. x KB-KC72 BIANCO          00009000090000999999940000000132000000001320000001EURPCE0320130301                  11                
ARN7689.AL         8018138185393Scatola 6-7mod KB72 ALLUMINIO              00009000090000999999940000000270000000002700000001EURPCE0320130301                  10                
ARN7689.CL         8018138185386Scatola 6-7 mod KB72 CILIEGIO              00009000090000999999940000000270000000002700000001EURPCE0320130301                  10                
ARN7689.FR         8018138188141Scatola 6-7 modx KB72 FRASSINO             00009000090000999999940000000270000000002700000001EURPCE0320130301                  10                
ARN7689.WG         8018138185690Scatola 6-7 mod KB72 WENGE'                00009000090000999999940000000270000000002700000001EURPCE0320130301                  10                
ARN845GL           8018138131598Giunto a scatto H80 mm                     00030000300003099999940000000022000000000220000001EURPCE0320130301                  36                
ARN846Z.1          8018138131574Giunto scatto H80 x T GRIGIO (2 pz)        00002000020000299999940000000022500000000225000001EURPCE0320130301                  36                
ARN846Z.6          8018138132694Giunto scatto H80 x T BIANCO (2 pz)        00002000020000299999940000000022500000000225000001EURPCE0320130301                  36                
ARN8889.2          8018138118308Scatola 3 mod. x KB-KC-KPS72 ANTRAC        00009000090000999999940000000089000000000890000001EURPCE0320130301                  11                
ARN8889.3          8018138157130Scatola 3 mod. x KB-KC-KPS72 B.PURO        00009000090000999999940000000085000000000850000001EURPCE0320130301                  11                
ARN8889.5          8018138118315Scatola 3 mod. x KB-KC72 MARRONE           00009000010000199999940000000089000000000890000001EURPCE0320130301                  11                
ARN8889.6          8018138118322Scatola 3 mod. x KB-KC-KPS72 BIANCA        00009000090000999999940000000085000000000850000001EURPCE0320130301                  11                
ARN8889.AL         8018138142372Scatola 3 mod x KB-KC-KPS ALLUMINIO        000090000900009999999B0000000180000000001800000001EURPCE0620130301                  10                
ARN89011000        8018138187458Velcro reggicavo                           00025000250002599999940000000037000000000370000001EURLM 0320130301                  63                
ARN905             8018138118339Dima di foratura per fianchi canale        00006000060000699999940000000021000000000210000001EURPCE0320130301                  35                
ARN908             8018138120295Cacciavite flessibile esagono 5 mm         00001000010000199999940000000120000000001200000001EURPCE0320130301                  19                
ARN910             8018138120318Cesoia per tranciature su canali           00001000010000199999940000001050000000010500000001EURPCE0320130301                  43                
ARN914             8018138131673Kit x allineamento canali e livella        00004000010000199999940000000035000000000350000001EURPCE0320130301                  39                
ARN986DM12         8018138132229Guarnizione esterna per M12                00500005000050099999940000000001600000000016000001EURPCE0320130301                  81                
ARN986DM16         8018138132236Guarnizione esterna per M16                00500005000050099999940000000001700000000017000001EURPCE0320130301                  81                
ARN986DM20         8018138132243Guarnizione esterna per M20                00500005000050099999940000000002100000000021000001EURPCE0320130301                  81                
ARN986DM25         8018138132250Guarnizione esterna per M25                00500005000050099999940000000002200000000022000001EURPCE0320130301                  81                
ARN986DM32         8018138132267Guarnizione esterna per M32                00250002500025099999940000000002500000000025000001EURPCE0320130301                  81                
ARN986DM40         8018138132274Guarnizione esterna per M40                00250002500025099999940000000003600000000036000001EURPCE0320130301                  81                
ARN986DM50         8018138132281Guarnizione esterna per M50                00250002500025099999940000000003700000000037000001EURPCE0320130301                  81                
ARN986DM63         8018138132298Guarnizione esterna per M63                00250002500025099999940000000004300000000043000001EURPCE0320130301                  81                
ARN986DP07         8018138122725Guarnizione esterna per Pg 7               00500005000050099999940000000001600000000016000001EURPCE0320130301                  81                
ARN986DP09         8018138122732Guarnizione esterna per Pg 9               00500005000050099999940000000001700000000017000001EURPCE0320130301                  81                
ARN986DP11         8018138122749Guarnizione esterna per Pg 11              00500005000050099999940000000002000000000020000001EURPCE0320130301                  81                
ARN986DP13         8018138122756Guarnizione esterna per Pg 13,5            00500005000050099999940000000002100000000021000001EURPCE0320130301                  81                
ARN986DP16         8018138122763Guarnizione esterna per Pg 16              00500005000050099999940000000002200000000022000001EURPCE0320130301                  81                
ARN986DP21         8018138122770Guarnizione esterna per Pg 21              00500005000050099999940000000002400000000024000001EURPCE0320130301                  81                
ARN986DP29         8018138122787Guarnizione esterna per Pg 29              00250002500025099999940000000002600000000026000001EURPCE0320130301                  81                
ARN986DP36         8018138122794Guarnizione esterna per Pg 36              00250002500025099999940000000003600000000036000001EURPCE0320130301                  81                
ARN986DP42         8018138122800Guarnizione esterna per Pg 42              00250002500025099999940000000003700000000037000001EURPCE0320130301                  81                
ARN986DP48         8018138122817Guarnizione esterna per Pg 48              00250002500025099999940000000004300000000043000001EURPCE0320130301                  81                
ARN9920A           8018138120325Cartello terra 250x150mm+coordinate        00300000100001099999940000000074000000000740000001EURPCE0320130301                  72                
ARN9920C           8018138170290Cartello terra 90x60mm+coordinate          00500000100001099999940000000030000000000300000001EURPCE0320130301                  72                
ARN9921A           8018138120332Cartello terra 250x150 mm                  00300000100001099999940000000074000000000740000001EURPCE0320130301                  72                
ARN9921C           8018138136982Cartello terra 180x120 mm                  00500000100001099999940000000042000000000420000001EURPCE0320130301                  72                
ARNA10.050         8018138156614Sonda acciaio-nylon d10 L50 m              00001000010000199999940000003100000000031000000001EURPCE0320130301                  87                
ARNA10.050C720     8018138156638Sonda acciaio-nylon d10 L50 ASPO           00001000010000199999940000006000000000060000000001EURPCE0320130301                  87                
ARNA10.060         8018138156621Sonda acciaio-nylon d10 L60 m              00001000010000199999940000003600000000036000000001EURPCE0320130301                  87                
ARNA10.060C720     8018138156645Sonda acciaio-nylon d10 L60 ASPO           00001000010000199999940000006600000000066000000001EURPCE0320130301                  87                
ARNA10.100C1000    8018138156652Sonda acciaio-nylon d10 L100 ASPO          00001000010000199999940000012300000000123000000001EURPCE0320130301                  87                
ARNA12G            8018138189759Espositore per sonde a 8 ganci             00001000010000199999940000005990000000059900000001EURPCE0320130301                  87                
ARNA16G            8018138157918Espositore per sonde a 16 ganci            00001000010000199999940000001510000000015100000001EURPCE0320130301                  87                
ARNA3G             8018138162233Espositore per sonde a 3 ganci             00001000010000199999940000002290000000022900000001EURPCE0320130301                  87                
ARNA4.007MAX       8018138159400Sonda acciaio-nylon d4 L 7m                00010000100001099999940000000230000000002300000001EURPCE0320130301                  87                
ARNA4.010          8018138156225Sonda acciaio-nylon d4 L10 m               00012000120001299999940000000200000000002000000001EURPCE0320130301                  87                
ARNA4.014MAX       8018138182118Sonda acciaio-nylon d4 L 14m               00010000100001099999940000000370000000003700000001EURPCE0320130301                  87                
ARNA4.014MAX-BL    8018138159417Sonda acciaio-nylon d4 L 14m               00010000100001099999940000000330000000003300000001EURPCE0320130301                  87                
ARNA4.015          8018138156232Sonda acciaio-nylon d4 L15 m               00010000100001099999940000000250000000002500000001EURPCE0320130301                  87                
ARNA4.020          8018138156249Sonda acciaio-nylon d4 L20 m               00008000080000899999940000000320000000003200000001EURPCE0320130301                  87                
ARNA4.021MAX       8018138159424Sonda acciaio-nylon d4 L 21m               00008000080000899999940000000480000000004800000001EURPCE0320130301                  87                
ARNA4.021MAX-BL    8018138184716Sonda acciaio-nylon d4 L 21m               00010000100001099999940000000450000000004500000001EURPCE0320130301                  87                
ARNA4.030          8018138156256Sonda acciaio-nylon d4 L30 m               00006000060000699999940000000420000000004200000001EURPCE0320130301                  87                
ARNA4.040C250      8018138156263Sonda acciaio-nylon d4 L40 con ASPO        00001000010000199999940000001550000000015500000001EURPCE0320130301                  87                
ARNA4.050C250      8018138156270Sonda acciaio-nylon d4 L50 con ASPO        00001000010000199999940000001650000000016500000001EURPCE0320130301                  87                
ARNA4A.M5          8018138180107Accessori M5 per sonde passacavi           00015000100001099999940000000135000000001350000001EURPCE0320130701                  87                
ARNA6.010          8018138156539Sonda acciaio-nylon d6 L10 m               00010000010000199999940000000550000000005500000001EURPCE0320130301                  87                
ARNA6.020          8018138156546Sonda acciaio-nylon d6 L20 m               00006000060000699999940000000640000000006400000001EURPCE0320130301                  87                
ARNA6.030          8018138156553Sonda acciaio-nylon d6 L30 m               00005000050000599999940000000810000000008100000001EURPCE0320130301                  87                
ARNA6.040          8018138156560Sonda acciaio-nylon d6 L40 m               00005000050000599999940000000980000000009800000001EURPCE0320130301                  87                
ARNA6.040C450      8018138156584Sonda acciaio-nylon d6 L40 con ASPO        00001000010000199999940000003180000000031800000001EURPCE0320130301                  87                
ARNA6.040C550      8018138162189Sonda acciaio-nylon d6 L40 con ASPO        00001000010000199999940000003640000000036400000001EURPCE0320130301                  87                
ARNA6.050          8018138156577Sonda acciaio-nylon d6 L50 m               00005000050000599999940000001180000000011800000001EURPCE0320130301                  87                
ARNA6.050C450      8018138156591Sonda acciaio-nylon d6 L50 con ASPO        00001000010000199999940000003390000000033900000001EURPCE0320130301                  87                
ARNA6.050C550      8018138162196Sonda acciaio-nylon d6 L50 con ASPO        00001000010000199999940000003870000000038700000001EURPCE0320130301                  87                
ARNA6.060C550      8018138162202Sonda acciaio-nylon d6 L60 con ASPO        00001000010000199999940000004300000000043000000001EURPCE0320130301                  87                
ARNA6.080C550      8018138162219Sonda acciaio-nylon d6 L80 con ASPO        00001000010000199999940000005300000000053000000001EURPCE0320130301                  87                
ARNA8G             8018138156966Espositore per sonde a 8 ganci             00001000010000199999940000000760000000007600000001EURPCE0320130301                  87                
ARNAB4.007MAX      8018138189391Sonda BI-Nylon d4 L 7m                     00010000100001099999940000000133000000001330000001EURPCE0320130301                  87                
ARNAB4.014MAX      8018138189407Sonda BI-Nylon d4 L 14m                    00010000100001099999940000000155000000001550000001EURPCE0320130301                  87                
ARNAB4.021MAX      8018138189414Sonda BI-Nylon d4 L 21m                    00008000080000899999940000000177000000001770000001EURPCE0320130301                  87                
ARNABLU            8018138168037Vernice tracciante BLU 400 ml              00012000120001299999940000000054000000000540000001EURPCE0320130301                  80                
ARNAC1000          8018138156959ASPO diametro 1000                         00001000010000199999940000006900000000069000000001EURPCE0320130301                  87                
ARNAC250           8018138156904ASPO diametro 250                          000010000100001999999B0000000990000000009900000001EURPCE0620130301                  87                
ARNAC350           8018138189490ASPO diametro 350                          00001000010000199999940000001300000000013000000001EURPCE0320130301                  87                
ARNAC450           8018138156911ASPO diametro 450                          00001000010000199999940000002100000000021000000001EURPCE0320130301                  87                
ARNAC550           8018138162226ASPO diametro 550                          00001000010000199999940000002990000000029900000001EURPCE0320130301                  87                
ARNAC6.M5.49       8018138156423Calza tirante d6 M5 4-9mm                  00001000010000199999940000000290000000002900000001EURPCE0320130301                  87                
ARNAC6.M5.915      8018138156430Calza tirante d6 M5 9-15mm                 00001000010000199999940000000345000000003450000001EURPCE0320130301                  87                
ARNAC620           8018138156928ASPO diametro 620                          00001000010000199999940000002600000000026000000001EURPCE0320130301                  87                
ARNAC720           8018138156935ASPO diametro 720                          00001000010000199999940000002850000000028500000001EURPCE0320130301                  87                
ARNACOLLA          8018138157925Colla per kit riparazione                  00001000010000199999940000000089000000000890000001EURPCE0320130301                  87                
ARNADET            8018138168082Detergente contatti elettrici 400ml        00020000200002099999940000000145000000001450000001EURPCE0320130301                  80                
ARNADT100.2        8018138166101Adattatore H 100 x SP504 ANTRACITE         00004000040000499999940000000048000000000480000001EURPCE0320130301                  12                
ARNADT100.3        8018138175547Adattatore H 100 xSP504 BIANCO PURO        00004000040000499999940000000044000000000440000001EURPCE0320130301                  12                
ARNADT100.6        8018138126341Adattatore H 100 x SP504 BIANCO            00004000040000499999940000000044000000000440000001EURPCE0320130301                  12                
ARNADT103.2        8018138144376Adattatore H100 x SPL ANTRACITE            00016000160001699999940000000100000000001000000001EURPCE0320130301                  12                
ARNADT103.3        8018138144383Adattatore H100 x SPL BIANCO PURO          00016000160001699999940000000091000000000910000001EURPCE0320130301                  12                
ARNADT103.5        8018138144390Adattatore H100 x SPL MARRONE              00016000160001699999940000000094000000000940000001EURPCE0320130301                  12                
ARNADT103.6        8018138144406Adattatore H100 x SPL BIANCO               00016000160001699999940000000091000000000910000001EURPCE0320130301                  12                
ARNADT72.2         8018138144338Adattatore H70 x SPL ANTRACITE             00016000160001699999940000000030000000000300000001EURPCE0320130301                  11                
ARNADT72.3         8018138144345Adattatore H70 x SPL BIANCO PURO           00016000160001699999940000000028000000000280000001EURPCE0320130301                  11                
ARNADT72.5         8018138144352Adattatore H70 x SPL MARRONE               00016000160001699999940000000030000000000300000001EURPCE0320130301                  11                
ARNADT72.6         8018138144369Adattatore H70 x SPL BIANCO                00016000160001699999940000000028000000000280000001EURPCE0320130301                  11                
ARNAF11.080C1000   8018138156782Sonda fibra vetro d11 L80 con ASPO         00001000010000199999940000012450000000124500000001EURPCE0320130301                  87                
ARNAF11.100C1000   8018138156799Sonda fibra vetro d11 L100 con ASPO        00001000010000199999940000013400000000134000000001EURPCE0320130301                  87                
ARNAF11.150C1200   8018138156812Sonda fibra vetro d11 L150 con ASPO        00001000010000199999940000016000000000160000000001EURPCE0320130301                  87                
ARNAF11.200C1200   8018138156829Sonda fibra vetro d11 L200 con ASPO        00001000010000199999940000018800000000188000000001EURPCE0320130301                  87                
ARNAF11.250C1200   8018138156836Sonda fibra vetro d11 L250 con ASPO        00001000010000199999940000022400000000224000000001EURPCE0320130301                  87                
ARNAF3.007MAX      8018138189469Sonda fibra vetro d3 L7 m                  00010000100001099999940000000360000000003600000001EURPCE0320130301                  87                
ARNAF3.010         8018138166163Sonda fibra vetro d3 L10 m                 00012000120001299999940000000270000000002700000001EURPCE0320130301                  87                
ARNAF3.014MAX      8018138189476Sonda fibra vetro d3 L14 m                 00010000100001099999940000000490000000004900000001EURPCE0320130301                  87                
ARNAF3.015         8018138166170Sonda fibra vetro d3 L15 m                 00010000100001099999940000000330000000003300000001EURPCE0320130301                  87                
ARNAF3.020         8018138166187Sonda fibra vetro d3 L20 m                 00008000080000899999940000000400000000004000000001EURPCE0320130301                  87                
ARNAF3.020ASC      8018138168358Sonda fibra vetro d3 L20 con ASC           00001000010000199999940000001160000000011600000001EURPCE0320130301                  87                
ARNAF3.021MAX      8018138189483Sonda fibra vetro d3 L21 m                 00008000080000899999940000000590000000005900000001EURPCE0320130301                  87                
ARNAF3.025         8018138166194Sonda fibra vetro d3 L25 m                 00006000060000699999940000000480000000004800000001EURPCE0320130301                  87                
ARNAF3.030         8018138166200Sonda fibra vetro d3 L30 m                 00006000060000699999940000000690000000006900000001EURPCE0320130301                  87                
ARNAF3.030ASC      8018138168372Sonda fibra vetro d3 L30 con ASC           00001000010000199999940000001350000000013500000001EURPCE0320130301                  87                
ARNAF35.010        8018138156287Sonda fibra vetro d3,5 L10 m               00012000120001299999940000000320000000003200000001EURPCE0320130301                  87                
ARNAF35.015        8018138156294Sonda fibra vetro d3,5 L15 m               00010000100001099999940000000440000000004400000001EURPCE0320130301                  87                
ARNAF35.020        8018138156300Sonda fibra vetro d3,5 L20 m               00008000080000899999940000000550000000005500000001EURPCE0320130301                  87                
ARNAF35.025        8018138156317Sonda fibra vetro d3,5 L25 m               00006000060000699999940000000660000000006600000001EURPCE0320130301                  87                
ARNAF45.015        8018138156324Sonda fibra vetro d4,5 L15 m               00010000010000199999940000000690000000006900000001EURPCE0320130301                  87                
ARNAF45.020        8018138156331Sonda fibra vetro d4,5 L20 m               00010000010000199999940000000850000000008500000001EURPCE0320130301                  87                
ARNAF45.030        8018138156348Sonda fibra vetro d4,5 L30 m               00008000010000199999940000001190000000011900000001EURPCE0320130301                  87                
ARNAF6.040         8018138156669Sonda fibra vetro d6 L40 m                 00005000010000199999940000001510000000015100000001EURPCE0320130301                  87                
ARNAF6.040C550     8018138162127Sonda fibra vetro d6 L40 con ASPO          00001000010000199999940000003990000000039900000001EURPCE0320130301                  87                
ARNAF6.050         8018138156676Sonda fibra vetro d6 L50 m                 00005000010000199999940000001840000000018400000001EURPCE0320130301                  87                
ARNAF6.050C550     8018138162134Sonda fibra vetro d6 L50 con ASPO          00001000010000199999940000004350000000043500000001EURPCE0320130301                  87                
ARNAF6.060C550     8018138162141Sonda fibra vetro d6 L60 con ASPO          00001000010000199999940000004750000000047500000001EURPCE0320130301                  87                
ARNAF6.080C550     8018138162158Sonda fibra vetro d6 L80 con ASPO          00001000010000199999940000005590000000055900000001EURPCE0320130301                  87                
ARNAF9.050         8018138156706Sonda fibra vetro d9 L50 m                 00001000010000199999940000003990000000039900000001EURPCE0320130301                  87                
ARNAF9.050C720     8018138156720Sonda fibra vetro d9 L50 con ASPO          00001000010000199999940000007200000000072000000001EURPCE0320130301                  87                
ARNAF9.060C720     8018138156737Sonda fibra vetro d9 L60 con ASPO          00001000010000199999940000007600000000076000000001EURPCE0320130301                  87                
ARNAF9.080         8018138156713Sonda fibra vetro d9 L80 m                 00001000010000199999940000005500000000055000000001EURPCE0320130301                  87                
ARNAF9.080C720     8018138156744Sonda fibra vetro d9 L80 con ASPO          00001000010000199999940000008300000000083000000001EURPCE0320130301                  87                
ARNAFAST           8018138178579Superadesivo per plastica 310 ml           00005000050000599999940000000200000000002000000001EURPCE0320130301                  80                
ARNAG64.3          8018138188554Giunzione per ASP/ASM64                    00001000010000199999940000000029000000000290000001EURPCE0320130301                  17                
ARNAGE050          8018138156522Fluido lubrificante 500cc                  00016000160001699999940000000046000000000460000001EURPCE0320130301                  89                
ARNAGE1            8018138166040Fluido lubrificante 1 litro                00012000120001299999940000000082000000000820000001EURPCE0320130301                  89                
ARNAGF400          8018138166064Schiuma lubrificante 400 ml                00020000200002099999940000000089000000000890000001EURPCE0320130301                  89                
ARNAGFM5.M5        8018138157741Giunto fisso M5-M5                         00010000100001099999940000000009900000000099000001EURPCE0320130301                  87                
ARNAGI050          8018138156515Gel lubrificante 0,5 Kg                    00016000160001699999940000000059000000000590000001EURPCE0320130301                  89                
ARNAGI1            8018138157093Gel lubrificante 1 Kg                      00012000120001299999940000000094000000000940000001EURPCE0320130301                  89                
ARNAGI5            8018138157109Gel lubrificante 5 Kg                      00001000010000199999940000000420000000004200000001EURPCE0320130301                  89                
ARNAGL050          8018138162240Liquido lubrificante 500 cc                00016000160001699999940000000030000000000300000001EURPCE0320130301                  89                
ARNAGL1            8018138157734Liquido lubrificante 1 litro               00012000120001299999940000000055000000000550000001EURPCE0320130301                  89                
ARNAGL5            8018138165647Liquido lubrificante 5 litri               00001000010000199999940000000260000000002600000001EURPCE0320130301                  89                
ARNAGM12.M12       8018138156461Giunto girevole M12-M12                    00001000010000199999940000000450000000004500000001EURPCE0320130301                  87                
ARNAGM5.M5         8018138156447Giunto girevole M5-M5                      00001000010000199999940000000330000000003300000001EURPCE0320130301                  87                
ARNAGS             8018138157932Spruzzatore                                00015000050000599999940000000011500000000115000001EURPCE0320130701                  89                
ARNAGS11           8018138158892Giunto semplice d11                        00001000010000199999940000000190000000001900000001EURPCE0320130301                  87                
ARNAGS30           8018138181111Giunto semplice d3                         00001000010000199999940000000020000000000200000001EURPCE0320130301                  87                
ARNAGS35           8018138158854Giunto semplice d3,5                       00001000010000199999940000000020000000000200000001EURPCE0320130301                  87                
ARNAGS45           8018138158861Giunto semplice d4,5                       00001000010000199999940000000050000000000500000001EURPCE0320130301                  87                
ARNAGS6            8018138158878Giunto semplice d6                         00001000010000199999940000000055000000000550000001EURPCE0320130301                  87                
ARNAGS9            8018138158885Giunto semplice d9                         00001000010000199999940000000190000000001900000001EURPCE0320130301                  87                
ARNAGT30.M5        8018138156478Grillo tirante alluminio 30 mm M5          00001000010000199999940000000150000000001500000001EURPCE0320130301                  87                
ARNAGT53.M12       8018138156492Grillo tirante alluminio 53 mm M12         00001000010000199999940000000330000000003300000001EURPCE0320130301                  87                
