LISTINO METEL       BTI109918601552014  2014010120140616BTICINO LIST.2014RR Agg.Giu14                                        020                                                 
LEG31ASD100G       8009561251700P31-Derivazione piana a T 100x100 gp       00001000010000199999930000043303500000433035000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASD200G       8009561251649P31-Derivazione piana a T 200x100 gp       00001000010000199999930000056532500000565325000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASD400G       8009561251588P31-Derivazione piana a T 400x100 gp       00001000010000199999930000110780500001107805000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASD500G       8009561276161P31-Derivazione piana a T 500x100 gp       00001000010000199999930000126103100001261031000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATA050G       8009561432109P31-Incrocio piano 50x25 gp                000010000100001999999A0000042066000000420660000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ATA075G       8009561432116P31-Incrocio piano 75x25 gp                000010000100001999999A0000045016400000450164000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ATA150G       8009561432130P31-Incrocio piano 150x25 gp               000010000100001999999A0000052915700000529157000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ATA400G       8009561432161P31-Incrocio piano 400x25 gp               000010000100001999999A0000106212200001062122000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ATA500G       8009561432178P31-Incrocio piano 500x25 gp               000010000100001999999A0000118774600001187746000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ATB050G       8009561226463P31-Incrocio piano 50x50 gp                00002000020000299999930000049394500000493945000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATB100G       8009561220317P31-Incrocio piano 100x50 gp               00002000020000299999930000056342000000563420000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATB150G       8009561240353P31-Incrocio piano 150x50 gp               00002000020000299999930000062242500000622425000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATB200G       8009561220119P31-Incrocio piano 200x50 gp               00002000020000299999930000066430100000664301000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATB300G       8009561220966P31-Incrocio piano 300x50 gp               00001000010000199999930000079944500000799445000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATB400G       8009561224452P31-Incrocio piano 400x50 gp               00001000010000199999930000124865700001248657000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATB500G       8009561218468P31-Incrocio piano 500x50 gp               00001000010000199999930000139712700001397127000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATB600G       8009561218239P31-Incrocio piano 600x50 gp               000010000100001999999A0000159984200001599842000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ATC075F       8009561312210P31-Incrocio piano 75x75 gr                00002000020000299999930000055675800000556758000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC075G       8009561225121P31-Incrocio piano 75x75 gp                00002000020000299999930000055676900000556769000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC100G       8009561228542P31-Incrocio piano 100x75 gp               00002000020000299999930000058150600000581506000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC150F       8009561312241P31-Incrocio piano 150x75 gr               00002000020000299999930000064146200000641462000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC150G       8009561240315P31-Incrocio piano 150x75 gp               00002000020000299999930000064146200000641462000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC200G       8009561217928P31-Incrocio piano 200x75 gp               00002000020000299999930000068524300000685243000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC300F       8009561312272P31-Incrocio piano 300x75 gr               00001000010000199999930000084131800000841318000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC300G       8009561213418P31-Incrocio piano 300x75 gp               00001000010000199999930000084131600000841316000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC400G       8009561218628P31-Incrocio piano 400x75 gp               00001000010000199999930000131528500001315285000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATC600G       8009561218178P31-Incrocio piano 600x75 gp               000010000100001999999A0000168454800001684548000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AYB200G       8009561220195P31-Curva sx var. piano discesa 200x50 gp  00002000020000299999930000058816600000588166000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYB300G       8009561221048P31-Curva sx var. piano discesa 300x50 gp  00001000010000199999930000074329400000743294000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYB400G       8009561224476P31-Curva sx var. piano discesa 400x50 gp  00001000010000199999930000143043900001430439000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYB500G       8009561218789P31-Curva sx var. piano discesa 500x50 gp  00001000010000199999930000174926400001749264000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYB600G       8009561218529P31-Curva sx var. piano discesa 600x50 gp  000010000100001999999A0000198719300001987193000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AYC075F       8009561312548P31-Curva sx var. piano discesa 75x75 gr   00004000040000499999930000042829500000428295000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC075G       8009561229686P31-Curva sx var. piano discesa 75x75 gp   00004000040000499999930000042827300000428273000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC100G       8009561215689P31-Curva sx var. piano discesa 100x75 gp  00004000040000499999930000047395900000473959000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC150F       8009561312579P31-Curva sx var. piano discesa 150x75 gr  00002000020000299999930000055866100000558661000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC150G       8009561214095P31-Curva sx var. piano discesa 150x75 gp  00002000020000299999930000055866000000558660000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC200G       8009561213753P31-Curva sx var. piano discesa 200x75 gp  00002000020000299999930000060529300000605293000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC300F       8009561312609P31-Curva sx var. piano discesa 300x75 gr  00001000010000199999930000078231100000782311000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC300G       8009561217096P31-Curva sx var. piano discesa 300x75 gp  00001000010000199999930000078231700000782317000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC400G       8009561218727P31-Curva sx var. piano discesa 400x75 gp  00001000010000199999930000150658200001506582000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC500G       8009561218437P31-Curva sx var. piano discesa 500x75 gp  00001000010000199999930000184051000001840510000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYC600G       8009561218185P31-Curva sx var. piano discesa 600x75 gp  000010000100001999999A0000209188300002091883000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AYD100G       8009561252219P31-Curva sx var. piano discesa 100x100 gp 00001000010000199999930000048918000000489180000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYD150G       8009561252196P31-Curva sx var. piano discesa 150x100 gp 00001000010000199999930000057484400000574844000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AYD200G       8009561252172P31-Curva sx var. piano discesa 200x100 gp 00001000010000199999930000062337900000623379000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZB050G       8009561228849P31-Curva dx var. piano discesa 50x50 gp   00004000040000499999930000035118900000351189000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZB150G       8009561220393P31-Curva dx var. piano discesa 150x50 gp  00002000020000299999930000054153000000541530000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZB200G       8009561220232P31-Curva dx var. piano discesa 200x50 gp  00002000020000299999930000058816600000588166000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZB300G       8009561221062P31-Curva dx var. piano discesa 300x50 gp  00001000010000199999930000074329400000743294000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZB400G       8009561224483P31-Curva dx var. piano discesa 400x50 gp  00001000010000199999930000143043900001430439000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZB500G       8009561218796P31-Curva dx var. piano discesa 500x50 gp  00001000010000199999930000174926400001749264000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZB600G       8009561218543P31-Curva dx var. piano discesa 600x50 gp  000010000100001999999A0000198719300001987193000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AZC075G       8009561229464P31-Curva dx var. piano discesa 75x75 gp   00004000040000499999930000042827500000428275000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC100G       8009561215719P31-Curva dx var. piano discesa 100x75 gp  00004000040000499999930000047395900000473959000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC150F       8009561312654P31-Curva dx var. piano discesa 150x75 gr  00002000020000299999930000055866300000558663000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC150G       8009561214125P31-Curva dx var. piano discesa 150x75 gp  00002000020000299999930000055866000000558660000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC200G       8009561213784P31-Curva dx var. piano discesa 200x75 gp  00002000020000299999930000060529300000605293000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC300F       8009561312685P31-Curva dx var. piano discesa 300x75 gr  00001000010000199999930000078236000000782360000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC300G       8009561217119P31-Curva dx var. piano discesa 300x75 gp  00001000010000199999930000078231900000782319000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC400G       8009561218741P31-Curva dx var. piano discesa 400x75 gp  00001000010000199999930000150658100001506581000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC500G       8009561218451P31-Curva dx var. piano discesa 500x75 gp  00001000010000199999930000184065800001840658000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZC600G       8009561218208P31-Curva dx var. piano discesa 600x75 gp  000010000100001999999A0000209188300002091883000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AQB300G       8009561223639P31-Curva in discesa 45? 300x50 gp         00002000020000299999930000051773700000517737000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQB400G       8009561228382P31-Curva in discesa 45? 400x50 gp         00001000010000199999930000059577900000595779000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQB500G       8009561219434P31-Curva in discesa 45? 500x50 gp         00001000010000199999930000070046800000700468000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC075G       8009561223431P31-Curva in discesa 45? 75x75 gp          00004000040000499999930000028932600000289326000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC100G       8009561216709P31-Curva in discesa 45? 100x75 gp         00004000040000499999930000030741000000307410000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC500G       8009561219410P31-Curva in discesa 45? 500x75 gp         00001000010000199999930000073663300000736633000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC075F       8009561311855P31-Curva in discesa 45? 75x75 gr          00004000040000499999930000028932200000289322000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC200G       8009561215412P31-Curva in discesa 45? 200x75 gp         00002000020000299999930000041780600000417806000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC300G       8009561214873P31-Curva in discesa 45? 300x75 gp         00002000020000299999930000053296400000532964000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQD200G       8009561250888P31-Curva in discesa 45? 200x100 gp        00001000010000199999930000043019300000430193000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC150F       8009561311886P31-Curva in discesa 45? 150x75 gr         00002000020000299999930000036070600000360706000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQD400G       8009561250826P31-Curva in discesa 45? 400x100 gp        00001000010000199999930000063194200000631942000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQD500G       8009561278141P31-Curva in discesa 45? 500x100 gp        00001000010000199999930000077375200000773752000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ARB050G       8009561229402P31-Curva in discesa 30? 50x50 gp          00004000040000499999930000025316200000253162000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AQC300F       8009561311916P31-Curva in discesa 45? 300x75 gr         00002000020000299999930000053298000000532980000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUB050G       8009561222670P31-Curva 90? var. piano 50x50 gp          00004000040000499999930000027314100000273141000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUC300G       8009561214392P31-Curva 90? var. piano 300x75 gp         00002000020000299999930000060148800000601488000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUC075G       8009561223394P31-Curva 90? var. piano 75x75 gp          00004000040000499999930000031978300000319783000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUC100G       8009561216259P31-Curva 90? var. piano 100x75 gp         00004000040000499999930000035499600000354996000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ARC075F       8009561311947P31-Curva in discesa 30? 75x75 gr          00002000020000299999930000028931600000289316000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ARC150F       8009561311978P31-Curva in discesa 30? 150x75 gr         00002000020000299999930000036070200000360702000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ARC300F       8009561312005P31-Curva in discesa 30? 300x75 gr         00002000020000299999930000053296400000532964000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASA050G       8009561432024P31-Derivazione piana a T 50x25 gp         000010000100001999999A0000029123200000291232000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ATD100G       8009561251557P31-Incrocio piano 100x100 gp              00001000010000199999930000059863400000598634000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATD150G       8009561251526P31-Incrocio piano 150x100 gp              00001000010000199999930000066049600000660496000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATD200G       8009561251496P31-Incrocio piano 200x100 gp              00001000010000199999930000070617700000706177000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATD300G       8009561251465P31-Incrocio piano 300x100 gp              00001000010000199999930000088318700000883187000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATD400G       8009561251434P31-Incrocio piano 400x100 gp              00001000010000199999930000137999700001379997000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ATD500G       8009561276192P31-Incrocio piano 500x100 gp              00001000010000199999930000154464500001544645000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUC075F       8009561312296P31-Curva 90? var. piano 75x75 gr          00004000040000499999930000031978300000319783000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUC150F       8009561312326P31-Curva 90? var. piano 150x75 gr         00002000020000299999930000040828700000408287000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUC150G       8009561249479P31-Curva 90? var. piano 150x75 gp         00002000020000299999930000040828700000408287000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AUC300F       8009561312357P31-Curva 90? var. piano 300x75 gr         00002000020000299999930000060148200000601482000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVB050G       8009561303393P31-Derivazione laterale a T 50x50 gp      00002000020000299999930000030931200000309312000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVB100G       8009561304765P31-Derivazione laterale a T 100x50 gp     00002000020000299999930000036736600000367366000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVB150G       8009561304796P31-Derivazione laterale a T 150x50 gp     00002000020000299999930000040448200000404482000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVB300G       8009561304901P31-Derivazione laterale a T 300x50 gp     00002000020000299999930000062908900000629089000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVB500G       8009561304956P31-Derivazione laterale a T 500x50 gp     00001000010000199999930000104784400001047844000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVB600G       8009561304970P31-Derivazione laterale a T 600x50 gp     000010000100001999999A0000130290700001302907000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AVC075G       8009561270961P31-Derivazione laterale a T 75x75 gp      00004000040000499999930000035119000000351190000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVC100G       8009561273290P31-Derivazione laterale a T 100x75 gp     00004000040000499999930000037878300000378783000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVC150G       8009561273351P31-Derivazione laterale a T 150x75 gp     00002000020000299999930000041780600000417806000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVC200G       8009561273412P31-Derivazione laterale a T 200x75 gp     00002000020000299999930000049489700000494897000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVC400G       8009561273535P31-Derivazione laterale a T 400x75 gp     00001000010000199999930000095077100000950771000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVC500G       8009561273559P31-Derivazione laterale a T 500x75 gp     00001000010000199999930000108115500001081155000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AVC600G       8009561273580P31-Derivazione laterale a T 600x75 gp     000010000100001999999A0000134287900001342879000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AWB050G       8009561225565P31-Deriv. vert. a T discesa 50x50 gp      00004000040000499999930000034547600000345476000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWB100G       8009561220553P31-Deriv. vert. a T discesa 100x50 gp     00002000020000299999930000046919600000469196000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWB150G       8009561220515P31-Deriv. vert. a T discesa 150x50 gp     00002000020000299999930000053201200000532012000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWB200G       8009561220430P31-Deriv. vert. a T discesa 200x50 gp     00002000020000299999930000060243800000602438000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWB300G       8009561221222P31-Deriv. vert. a T discesa 300x50 gp     00001000010000199999930000073092300000730923000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWB400G       8009561224490P31-Deriv. vert. a T discesa 400x50 gp     00001000010000199999930000134763900001347639000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWB500G       8009561218949P31-Deriv. vert. a T discesa 500x50 gp     00001000010000199999930000151990000001519900000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWB600G       8009561218864P31-Deriv. vert. a T discesa 600x50 gp     000010000100001999999A0000189011600001890116000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AWC075F       8009561312388P31-Deriv. vert. a T discesa 75x75 gr      00002000020000299999930000043493600000434936000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC075G       8009561225183P31-Deriv. vert. a T discesa 75x75 gp      00002000020000299999930000043493900000434939000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC100G       8009561228962P31-Deriv. vert. a T discesa 100x75 gp     00002000020000299999930000048252300000482523000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC150F       8009561312418P31-Deriv. vert. a T discesa 150x75 gr     00002000020000299999930000054914600000549146000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC150G       8009561228924P31-Deriv. vert. a T discesa 150x75 gp     00002000020000299999930000054914700000549147000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZD100G       8009561252110P31-Curva dx var. piano discesa 100x100 gp 00001000010000199999930000048916400000489164000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZD150G       8009561252097P31-Curva dx var. piano discesa 150x100 gp 00001000010000199999930000057484400000574844000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZD200G       8009561252073P31-Curva dx var. piano discesa 200x100 gp 00001000010000199999930000062337900000623379000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZD300G       8009561252059P31-Curva dx var. piano discesa 300x100 gp 00001000010000199999930000082134000000821340000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZD400G       8009561252035P31-Curva dx var. piano discesa 400x100 gp 00001000010000199999930000158080900001580809000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AZD500G       8009561278189P31-Curva dx var. piano discesa 500x100 gp 00001000010000199999930000193389800001933898000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASA075G       8009561432031P31-Derivazione piana a T 75x25 gp         000010000100001999999A0000031882500000318825000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASA100G       8009561432048P31-Derivazione piana a T 100x25 gp        000010000100001999999A0000034738200000347382000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASA150G       8009561432055P31-Derivazione piana a T 150x25 gp        000010000100001999999A0000038354400000383544000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASA200G       8009561432062P31-Derivazione piana a T 200x25 gp        000010000100001999999A0000045396800000453968000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASA300G       8009561432079P31-Derivazione piana a T 300x25 gp        000010000100001999999A0000058340500000583405000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASA400G       8009561432086P31-Derivazione piana a T 400x25 gp        000010000100001999999A0000085274400000852744000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASA500G       8009561432093P31-Derivazione piana a T 500x25 gp        000010000100001999999A0000097075500000970755000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASB050G       8009561223417P31-Derivazione piana a T 50x50 gp         00004000040000499999930000034167000000341670000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASB100G       8009561226678P31-Derivazione piana a T 100x50 gp        00004000040000499999930000040828600000408286000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASB150G       8009561227378P31-Derivazione piana a T 150x50 gp        00002000020000299999930000045016700000450167000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASB200G       8009561227231P31-Derivazione piana a T 200x50 gp        00002000020000299999930000053295200000532952000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASB400G       8009561228238P31-Derivazione piana a T 400x50 gp        00001000010000199999930000100311500001003115000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASB500G       8009561218604P31-Derivazione piana a T 500x50 gp        00001000010000199999930000114111300001141113000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASB600G       8009561219687P31-Derivazione piana a T 600x50 gp        000010000100001999999A0000141711300001417113000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASC075F       8009561312036P31-Derivazione piana a T 75x75 gr         00004000040000499999930000039020700000390207000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC075G       8009561215085P31-Derivazione piana a T 75x75 gp         00004000040000499999930000039020800000390208000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC100G       8009561214996P31-Derivazione piana a T 100x75 gp        00004000040000499999930000042066000000420660000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC150F       8009561312067P31-Derivazione piana a T 150x75 gr        00002000020000299999930000046349400000463494000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC150G       8009561214002P31-Derivazione piana a T 150x75 gp        00002000020000299999930000046348900000463489000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC200G       8009561213944P31-Derivazione piana a T 200x75 gp        00002000020000299999930000055009600000550096000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC400G       8009561218635P31-Derivazione piana a T 400x75 gp        00001000010000199999930000105545900001055459000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC500G       8009561218512P31-Derivazione piana a T 500x75 gp        00001000010000199999930000120106900001201069000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASC600G       8009561218291P31-Derivazione piana a T 600x75 gp        000010000100001999999A0000149230200001492302000100EURPCE0620140101FC                LG2-101-4-19      
LEG31ASCR21G       8009561225947P31-Deriv. a T imb. ridotti 75/50x75 gp    00002000020000299999930000059102200000591022000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR22G       8009561225886P31-Deriv. a T imb. ridotti 75/100x75 gp   00002000020000299999930000061576400000615764000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR23G       8009561240742P31-Deriv. a T imb. ridotti 75/150x75 gp   00002000020000299999930000067668200000676682000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR24G       8009561223936P31-Deriv. a T imb. ridotti 75/200x75 gp   00002000020000299999930000072522200000725222000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR25G       8009561228801P31-Deriv. a T imb. ridotti 75/300x75 gp   00002000020000299999930000088986000000889860000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR26G       8009561225862P31-Deriv. a T imb. ridotti 100/50x75 gp   00002000020000299999930000061577100000615771000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR27G       8009561223974P31-Deriv. a T imb. ridotti 100/75x75 gp   00002000020000299999930000061576900000615769000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR28G       8009561225107P31-Deriv. a T imb. ridotti 100/150x75 gp  00002000020000299999930000067667700000676677000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR29G       8009561225046P31-Deriv. a T imb. ridotti 100/200x75 gp  00002000020000299999930000072521400000725214000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR32G       8009561225060P31-Deriv. a T imb. ridotti 150/50x75 gp   00002000020000299999930000067668200000676682000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR33F       8009561312128P31-Deriv. a T imb. ridotti 150/75x75 gr   00002000020000299999930000067667300000676673000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR33G       8009561225787P31-Deriv. a T imb. ridotti 150/75x75 gp   00002000020000299999930000067667200000676672000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR34G       8009561225008P31-Deriv. a T imb. ridotti 150/100x75 gp  00002000020000299999930000067667200000676672000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR35G       8009561224940P31-Deriv. a T imb. ridotti 150/200x75 gp  00002000020000299999930000072520100000725201000100EURPCE0320140101FC                LG2-101-4-19      
LEG31ASCR36G       8009561224889P31-Deriv. a T imb. ridotti 150/300x75 gp  00002000020000299999930000088985500000889855000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC200G       8009561225824P31-Deriv. vert. a T discesa 200x75 gp     00002000020000299999930000062052100000620521000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC300F       8009561312449P31-Deriv. vert. a T discesa 300x75 gr     00001000010000199999930000077000600000770006000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC300G       8009561217218P31-Deriv. vert. a T discesa 300x75 gp     00001000010000199999930000076994600000769946000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC400G       8009561219038P31-Deriv. vert. a T discesa 400x75 gp     00001000010000199999930000141900000001419000000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWC600G       8009561218840P31-Deriv. vert. a T discesa 600x75 gp     000010000100001999999A0000199004800001990048000100EURPCE0620140101FC                LG2-101-4-19      
LEG31AWD100G       8009561252417P31-Deriv. vert. a T discesa 100x100 gp    00001000010000199999930000049773900000497739000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWD150G       8009561252394P31-Deriv. vert. a T discesa 150x100 gp    00001000010000199999930000056437100000564371000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWD200G       8009561252370P31-Deriv. vert. a T discesa 200x100 gp    00001000010000199999930000063955700000639557000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWD400G       8009561252332P31-Deriv. vert. a T discesa 400x100 gp    00001000010000199999930000149039800001490398000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AWD500G       8009561295124P31-Deriv. vert. a T discesa 500x100 gp    00001000010000199999930000167978400001679784000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AXB050G       8009561225589P31-Deriv. T discesa var. piano 50x50 gp   00004000040000499999930000044540500000445405000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AXB100G       8009561220492P31-Deriv. T discesa var. piano 100x50 gp  00002000020000299999930000058340500000583405000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AXB150G       8009561220270P31-Deriv. T discesa var. piano 150x50 gp  00002000020000299999930000064051000000640510000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AXB200G       8009561220157P31-Deriv. T discesa var. piano 200x50 gp  00002000020000299999930000067477200000674772000100EURPCE0320140101FC                LG2-101-4-19      
LEG31AXB300G       8009561221017P31-Deriv. T discesa var. piano 300x50 gp  00001000010000199999930000078612400000786124000100EURPCE0320140101FC                LG2-101-4-19      
